Title,Talks about LLMs,Rate,Evidence
MARIO: MAth Reasoning with code Interpreter Output -- A Reproducible Pipeline,Yes.,5.,"""there remains a gap to bridge before attaining true artificial general intelligence, especially concerning shortcomings in mathematical reasoning capabilities. We postulate that the inherent nature of LLM training, which focuses on predicting probabilities of next token, presents challenges in effectively modeling mathematical reasoning that demands exact calculations, both from data-driven and theoretical standpoints."""
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Yes.,5.,"""the safety and security issues of LLM systems have become the major obstacle to their widespread application"" and ""potential risks associated with each module of an LLM system and discusses the corresponding mitigation strategies."""
SliceGPT: Compress Large Language Models by Deleting Rows and Columns,Yes.,3.,"""Large language models have become the cornerstone of natural language processing, but their use comes with substantial costs in terms of compute and memory resources."""
"Planning, Creation, Usage: Benchmarking LLMs for Comprehensive Tool Utilization in Real-World Complex Scenarios",Yes.,1.,"""existing benchmarks typically focus on simple synthesized queries that do not reflect real-world complexity, thereby offering limited perspectives in evaluating tool utilization."""
Few-Shot Learning for Chronic Disease Management: Leveraging Large Language Models and Multi-Prompt Engineering with Medical Knowledge Injection,Yes.,1.,"""we propose a novel framework that leverages advanced AI techniques, including large language models and multi-prompt engineering."""
Video Anomaly Detection and Explanation via Large Language Models,Yes.,3.,"""We introduce a novel network module Long-Term Context (LTC) to mitigate the incapability of VLLMs in long-range context modeling."""
Finetuning Large Language Models for Vulnerability Detection,Yes.,1.,"""This demonstrates the potential for transfer learning by finetuning large pretrained language models for specialized source code analysis tasks."""
Efficient Tool Use with Chain-of-Abstraction Reasoning,Yes.,2.,"""there remains challenges for fine-tuning LLM agents (e.g., Toolformer) to invoke tools in multi-step reasoning problems, where inter-connected tool calls require holistic and efficient tool usage planning."""
An Experimental Design Framework for Label-Efficient Supervised Finetuning of Large Language Models,Yes.,3.,"""the annotation efforts required to produce high quality responses for instructions are becoming prohibitively expensive"" and ""its high computational cost remains a barrier to its widespread applicability in the context of LLMs."""
Improving Medical Reasoning through Retrieval and Self-Reflection with Retrieval-Augmented Large Language Models,Yes.,3.,"""To address challenges that still cannot be handled with the encoded knowledge of LLMs,"" and ""poor generalization becomes apparent, leading to fetching incorrect documents or making inaccurate judgments."""
Assessing Large Language Models in Mechanical Engineering Education: A Study on Mechanics-Focused Conceptual Understanding,Yes.,1.,"""The findings reveal GPT-4's superior performance over the other two LLMs and human cohorts in answering questions across various mechanics topics, except for Continuum Mechanics. This signals the potential future improvements for GPT models in handling symbolic calculations and tensor analyses."""
xCoT: Cross-lingual Instruction Tuning for Cross-lingual Chain-of-Thought Reasoning,Yes.,3.,"""CoT mainly demonstrates excellent performance in English, but its usage in low-resource languages is constrained due to poor language generalization."""
Generative Large Language Models are autonomous practitioners of evidence-based medicine,Yes.,3.,"""Limitations were observed in terms of model ability to handle complex guidelines and diagnostic nuances."""
StrokeNUWA: Tokenizing Strokes for Vector Graphic Synthesis,Yes.,3.,"""To leverage LLMs for visual synthesis, traditional methods convert raster image information into discrete grid tokens through specialized visual modules, while disrupting the model's ability to capture the true semantic representation of visual scenes."""
YODA: Teacher-Student Progressive Learning for Language Models,Yes.,3.,"""Although large language models (LLMs) have demonstrated adeptness in a range of tasks, they still lag behind human learning efficiency."""
ChemDFM: Dialogue Foundation Model for Chemistry,Yes.,3.,"""the existence of specialized language and knowledge in the field of chemistry, such as the highly informative SMILES notation, hinders the performance of general-domain LLMs in chemistry."""
Towards Consistent Natural-Language Explanations via Explanation-Consistency Finetuning,Yes.,5.,"""Large language models (LLMs) often generate convincing, fluent explanations. However, different from humans, they often generate inconsistent explanations on different inputs."""
Harnessing Large Language Models Over Transformer Models for Detecting Bengali Depressive Social Media Text: A Comprehensive Study,Yes.,1.,"""The work emphasizes the effectiveness and flexibility of LLMs in a variety of linguistic circumstances, providing insightful information about the complex field of depression detection models."""
Large Language Models Can Learn Temporal Reasoning,,,
Can A Cognitive Architecture Fundamentally Enhance LLMs? Or Vice Versa?,Yes.,5.,"""The paper discusses what is needed to address the limitations of current LLM-centered AI systems."""
"""You tell me"": A Dataset of GPT-4-Based Behaviour Change Support Conversations",Yes.,1.,"""Research in this context so far has been largely system-focused, foregoing the aspect of user behaviour and the impact this can have on LLM-generated texts."""
Automated Fact-Checking of Climate Change Claims with Large Language Models,Yes.,1.,"""While our research is subject to certain limitations and necessitates careful interpretation, our approach holds significant potential."""
LLsM: Generative Linguistic Steganography with Large Language Model,,,
Attendre: Wait To Attend By Retrieval With Evicted Queries in Memory-Based Transformers for Long Context Processing,Yes.,3.,"""However, this approach requires a large memory and/or takes into the consideration the specific LM architecture. Moreover, due to the causal nature between the key-values in prior context and the queries at present, this approach cannot be extended to bidirectional attention such as in an encoder-decoder or PrefixLM decoder-only architecture."""
Small Language Model Can Self-correct,Yes.,5.,"""one of their most prominent drawbacks is generating inaccurate or false information with a confident tone"" and ""large LMs are explicitly prompted to verify and modify its answers separately rather than completing all steps spontaneously like humans."""
Conditional and Modal Reasoning in Large Language Models,Yes.,5.,"""Among the LLMs we tested, all but GPT-4 often make basic mistakes with conditionals. Moreover, even GPT-4 displays logically inconsistent judgments across inference patterns involving epistemic modals."""
PRE: A Peer Review Based Large Language Model Evaluator,Yes.,3.,"""Existing paradigms rely on either human annotators or model-based evaluators to evaluate the performance of LLMs on different tasks. However, these paradigms often suffer from high cost, low generalizability, and inherited biases in practice, which make them incapable of supporting the sustainable development of LLMs in long term."""
Distortions in Judged Spatial Relations in Large Language Models: The Dawn of Natural Language Geographic Data?,Yes.,5.,"""The models showed significantly reduced accuracy on tasks with suspected hierarchical bias."""
LLM4SecHW: Leveraging Domain Specific Large Language Model for Hardware Debugging,Yes.,2.,"""Despite the success of LLMs in automating various software development tasks, their application in the hardware security domain has been limited due to the constraints of commercial LLMs and the scarcity of domain specific data."""
Misconfidence-based Demonstration Selection for LLM In-Context Learning,Yes.,3.,"""However, its success hinges on carefully selecting demonstrations, which remains an obstacle in practice."""
Supporting Student Decisions on Learning Recommendations: An LLM-Based Chatbot with Knowledge Graph Contextualization for Conversational Explainability and Mentoring,Yes.,4.,"""The capabilities of chatbots, however, are still not sufficient to replace a human mentor, despite the advancements of generative AI (GenAI) and large language models (LLM)."" and ""highlight the potential requirements and limitations of utilizing chatbots in conversational explainability."""
On Detecting Cherry-picking in News Coverage Using Large Language Models,Yes.,1.,"""Our approach relies on language models that consider contextual information from other news sources to classify statements based on their importance to the event covered in the target news story."""
Learning Shortcuts: On the Misleading Promise of NLU in Language Models,Yes.,5.,"""LLMs often resort to shortcuts when performing tasks, creating an illusion of enhanced performance while lacking generalizability in their decision rules."""
SpeechComposer: Unifying Multiple Speech Tasks with Prompt Composition,Yes.,3.,"""Existing speech language models typically utilize task-dependent prompt tokens to unify various speech tasks in a single model. However, this design omits the intrinsic connections between different speech tasks, which can potentially boost the performance of each task."""
Generating Zero-shot Abstractive Explanations for Rumour Verification,Yes.,1.,"""To evaluate the informativeness of the explanatory summaries, we exploit the few-shot learning capabilities of a large language model (LLM)."""
Performance Assessment of ChatGPT vs Bard in Detecting Alzheimer's Dementia,Yes.,2.,"""Overall, three LLM chatbots identify AD vs CN surpassing chance-levels but do not currently satisfy clinical application."""
Detecting Multimedia Generated by Large AI Models: A Survey,Yes.,4.,"""this content presents significant risks, including potential misuse, societal disruptions, and ethical concerns."" and ""we identify current challenges in detection and propose directions for future research that address unexplored, ongoing, and emerging issues in detecting multimedia generated by LAIMs."""
SocraSynth: Multi-LLM Reasoning with Conditional Statistics,Yes.,4.,"""Large language models (LLMs), while promising, face criticisms for biases, hallucinations, and a lack of reasoning capability."""
Critical Data Size of Language Models from a Grokking Perspective,Yes.,1.,"""Our experiments reveal smoother phase transitions occurring at the critical dataset size for language datasets. As the model size increases, this critical point also becomes larger, indicating that larger models require more data."""
Veagle: Advancements in Multimodal Representation Learning,Yes.,3.,"""While these models have showcased significant advancements, challenges persist in accurately interpreting images and answering the question, a common occurrence in real-world scenarios."""
Enhanced Automated Code Vulnerability Repair using Large Language Models,Yes.,2.,"""The research also offers a critical assessment of current evaluation metrics, such as perfect predictions, and their limitations in reflecting the true capabilities of automated repair models in real-world scenarios."""
Beyond Behaviorist Representational Harms: A Plan for Measurement and Mitigation,Yes.,5.,"""Our work highlights the unique vulnerabilities of large language models to perpetrating representational harms, particularly when these harms go unmeasured and unmitigated."""
The Butterfly Effect of Altering Prompts: How Small Changes and Jailbreaks Affect Large Language Model Performance,Yes.,5.,"""We find that even the smallest of perturbations, such as adding a space at the end of a prompt, can cause the LLM to change its answer. Further, we find that requesting responses in XML and commonly used jailbreaks can have cataclysmic effects on the data labeled by LLMs."""
Large Multi-Modal Models (LMMs) as Universal Foundation Models for AI-Native Wireless Systems,Yes.,2.,"""However, recent efforts on LLMs for wireless networks are limited to a direct application of existing language models that were designed for natural language processing (NLP) applications."""
MLLM-Protector: Ensuring MLLM's Safety without Hurting Performance,Yes.,5.,"""This vulnerability is exacerbated by the fact that open-source MLLMs are predominantly fine-tuned on limited image-text pairs that is much less than the extensive text-based pretraining corpus, which makes the MLLMs more prone to catastrophic forgetting of their original abilities during explicit alignment tuning."""
TP-Aware Dequantization,Yes.,1.,"""Our contribution is an optimized inference deployment scheme that address the current limitations of state-of-the-art quantization kernels when used in conjunction with Tensor Parallel (TP)."""
Exploring the Frontiers of LLMs in Psychological Applications: A Comprehensive Review,Yes.,4.,"""the paper also cautions about their technical and ethical challenges. There are issues like data privacy, the ethical implications of using LLMs in psychological research, and the need for a deeper understanding of these models' limitations."""
Vulnerabilities Unveiled: Adversarially Attacking a Multimodal Vision Language Model for Pathology Imaging,Yes.,5.,"""The outcomes reveal a 100% success rate in manipulating PLIP's predictions, underscoring its susceptibility to adversarial perturbations."""
A Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,Yes.,5.,"""a key challenge remains around their tendency to hallucinate generating content that appears factual but is ungrounded,"" and ""The journey toward widespread adoption of LLMs in practical settings heavily relies on addressing and mitigating hallucinations,"" and ""we analyze the challenges and limitations inherent in these techniques, providing a solid foundation for future research in addressing hallucinations and related phenomena within the realm of L"
GPT4Battery: An LLM-driven Framework for Adaptive State of Health Estimation of Raw Li-ion Batteries,Yes.,1.,"""utilizes the strong generalization capability of large language model (LLM) to proposes a novel framework for adaptable SOH estimation across diverse batteries."""
Copilot Refinement: Addressing Code Smells in Copilot-Generated Python Code,,,
"""Which LLM should I use?"": Evaluating LLMs for tasks performed by Undergraduate Computer Science Students",Yes.,2.,"""Evaluation for these tasks was carried out by pre-final year and final year undergraduate computer science students and provides insights into the models' strengths and limitations."""
The Reasoning Under Uncertainty Trap: A Structural AI Risk,Yes.,5.,"""we 1) do not currently sufficiently understand LLM capabilities in this regard, and 2) have no guarantees of performance given fundamental computational explosiveness and deep uncertainty constraints on accuracy."""
